1	10	21.26
1	8	20.57
1	13	20.15
1	9	22.28
1	11	21.36
1	14	22.3
1	6	21.35
1	4	18.81
1	12	23.63
1	7	18.73
1	5	20.01
2	10	22.4
2	8	21.84
2	13	21.35
2	9	22.15
2	11	22.27
2	14	20.43
2	6	20.25
2	4	17.66
2	12	21.9
2	7	21.15
2	5	19.05
3	10	20.7
3	8	20.43
3	13	25.31
3	9	20.56
3	11	20.8
3	14	21.19
3	6	20.21
3	4	19.9
3	12	20.95
3	7	20.31
3	5	20.09
4	10	22.94
4	8	19.85
4	13	19.65
4	9	20.25
4	11	22.38
4	14	23.84
4	6	20.55
4	4	19.53
4	12	21.55
4	7	19.72
4	5	20.19
5	8	21.2
5	8	18.74
5	8	21.98
5	8	19.7
5	8	22.66
5	8	19.32
5	8	21.62
5	8	20.91
5	8	20.13
5	8	20.44
5	19	23.75

